surveyid,clusterid,hhid,latitude,longitude,location_src,interview_month,interview_year,hh_sample_wt,n_pop_u5,n_u5_under_itn,n_preg_tot,n_preg_under_itn,n_defacto_pop,n_slept_under_itn,hh_has_entry_in_net_tbl,hh_size,n_itn,hh_has_itn,hh_has_enough_itn,occ_hh_has_enough_itn,itn_theoretical_capacity,n_itn_used,n_conv_itn,n_llin,n_llin_1_2yr,n_llin_1yr,n_llin_2_3yr,n_llin_gt3yr
505,1,10003,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,3,0,1,3,2,1,1,1,3,0,NA,NA,NA,NA,NA,NA
505,1,10009,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,4,4,1,4,4,1,1,1,4,4,NA,NA,NA,NA,NA,NA
505,1,10015,-18.96995,47.567985,GPS,4,2016,3191028,1,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
505,1,10021,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,2,2,1,2,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA
505,1,10027,-18.96995,47.567985,GPS,4,2016,3191028,1,0,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
505,1,10033,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
505,1,10039,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
505,1,10045,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,3,3,1,3,2,1,1,1,3,1,NA,NA,NA,NA,NA,NA
505,1,10051,-18.96995,47.567985,GPS,4,2016,3191028,1,0,0,0,5,4,1,5,1,1,0,0,2,1,NA,NA,NA,NA,NA,NA
505,1,10057,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,4,4,1,4,1,1,0,0,2,1,NA,NA,NA,NA,NA,NA
505,1,10062,-18.96995,47.567985,GPS,4,2016,3191028,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
