map_id,map_date,map_check_id,map_check_date,enl_id,pm_id,doi,status,author_name,pub_year,resolved,reason_for_exclusion,reason_for_contacting,follow_up,follow_up_author_name,email_address,has_been_contacted,permissions,extraction_initials,source_id1,source_id2,source_id3,country,admin1,admin2,admin3,site_name,area_type,rural_urban,lat,long,latlong_source,site_notes,aggregated_studies_count,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf,pv,po,pm,pk,pf_pv,pf_po,pf_pm,pv_pm,pv_po,po_pm,pk_pf,pk_pv,pk_pm,pk_po,pf_pv_po,pf_pv_pm,pf_po_pm,pv_po_pm,pf_pv_pk,pf_po_pk,pf_pm_pk,pv_po_pk,pv_pm_pk,po_pm_pk,pf_pv_po_pm,pf_pan_positive,pv_pan_positive,pf_pv_pan_positive,pan_positive_only,species_disaggregated,pf_pr,pv_pr,po_pr,pm_pr,pk_pr,method,rdt_type,pcr_type,study_notes,dhs_survey_text_id,surveyid
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANOSY,,,MD201600000317,POINT,RURAL,-24.709257000000001,46.994881999999997,GPS,,,6,2016,6,2016,0.6,4,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANOSY,,,MD201600000316,POINT,RURAL,-24.625250000000001,46.906652000000001,GPS,,,6,2016,7,2016,0.6,4,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.11538461538461539,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANOSY,,,MD201600000315,POINT,RURAL,-25.011151999999999,46.670774999999999,GPS,,,6,2016,6,2016,0.6,4,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.030303030303030304,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANOSY,,,MD201600000314,POINT,RURAL,-24.948483,46.877358000000001,GPS,,,6,2016,7,2016,0.9,4,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANOSY,,,MD201600000313,POINT,URBAN,-25.035526000000001,46.960276,GPS,,,7,2016,7,2016,1.3,4,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.22222222222222221,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANOSY,,,MD201600000312,POINT,URBAN,-25.028938,46.996823999999997,GPS,,,7,2016,7,2016,0.5,4,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANOSY,,,MD201600000311,POINT,URBAN,-25.029817999999999,46.985157000000001,GPS,,,7,2016,7,2016,0.5,4,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000310,POINT,RURAL,-24.632065000000001,45.381073000000001,GPS,,,6,2016,6,2016,1.3,4,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000309,POINT,RURAL,-24.560956000000001,45.296298999999998,GPS,,,6,2016,6,2016,1.6,4,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000308,POINT,RURAL,-24.492274999999999,45.343288999999999,GPS,,,6,2016,6,2016,0.5,4,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.1388888888888889,,,,,RDT,,,,MD2016MIS,505
